LotShape,Utilities,LandSlope,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,HeatingQC,CentralAir,Electrical,KitchenQual,Functional,FireplaceQu,GarageFinish,GarageQual,GarageCond,PavedDrive,PoolQC,OverallQual,OverallCond
Reg,AllPub,Gtl,Gd,TA,Gd,TA,Av,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,NA,RFn,TA,TA,Y,NA,7,5
Reg,AllPub,Gtl,Gd,TA,Gd,TA,Mn,ALQ,Unf,Ex,Y,SBrkr,Gd,Typ,NA,RFn,TA,TA,Y,NA,7,7
IR1,AllPub,Gtl,TA,TA,TA,Fa,No,Rec,Unf,TA,Y,FuseA,TA,Typ,NA,Unf,TA,TA,Y,NA,6,7
Reg,AllPub,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Ex,Y,SBrkr,Gd,Typ,NA,Fin,TA,TA,Y,NA,8,5
Reg,AllPub,Gtl,Fa,Fa,TA,Fa,No,Unf,Unf,Gd,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,N,NA,4,4
Reg,AllPub,Gtl,TA,TA,NA,NA,NA,NA,NA,Fa,N,FuseA,TA,Typ,NA,Unf,TA,TA,Y,NA,3,4
IR1,AllPub,Gtl,Ex,TA,Ex,TA,No,GLQ,Unf,Ex,Y,SBrkr,Ex,Typ,Ex,RFn,TA,TA,Y,NA,9,5
Reg,AllPub,Gtl,TA,TA,Gd,TA,No,Rec,BLQ,TA,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,5,3
Reg,AllPub,Gtl,TA,TA,TA,TA,No,Unf,Unf,Gd,Y,SBrkr,Fa,Typ,Gd,Unf,TA,TA,Y,NA,6,5
IR1,AllPub,Gtl,TA,Gd,TA,TA,Mn,BLQ,Unf,TA,Y,SBrkr,TA,Typ,NA,RFn,TA,TA,Y,NA,6,8
IR1,AllPub,Gtl,TA,TA,TA,TA,No,BLQ,Unf,Ex,Y,FuseA,TA,Typ,Gd,Unf,TA,TA,Y,NA,6,5
Reg,AllPub,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,NA,RFn,TA,TA,Y,NA,7,5
IR2,AllPub,Gtl,Ex,TA,Ex,TA,No,GLQ,Unf,Ex,Y,SBrkr,Ex,Typ,Ex,Fin,TA,TA,Y,NA,9,5
IR1,AllPub,Gtl,Ex,TA,Ex,TA,No,Unf,Unf,Ex,Y,SBrkr,Ex,Typ,Gd,RFn,TA,TA,Y,NA,9,5
IR1,AllPub,Mod,TA,TA,Gd,TA,Gd,GLQ,Unf,Gd,Y,SBrkr,Gd,Typ,TA,RFn,TA,TA,Y,NA,7,5
Reg,AllPub,Gtl,TA,TA,TA,Fa,Mn,LwQ,Rec,TA,N,SBrkr,TA,Typ,NA,Unf,TA,Fa,Y,NA,5,6
Reg,AllPub,Gtl,TA,Gd,TA,TA,No,Unf,Unf,Gd,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,6,8
Reg,AllPub,Gtl,TA,TA,TA,TA,No,LwQ,Unf,Ex,Y,SBrkr,TA,Typ,Gd,Unf,TA,TA,Y,NA,6,5
IR2,AllPub,Gtl,Gd,Gd,Gd,Gd,No,ALQ,BLQ,Ex,Y,SBrkr,Gd,Typ,NA,RFn,TA,TA,Y,NA,6,5
IR1,AllPub,Gtl,TA,TA,Gd,TA,No,GLQ,Unf,Gd,Y,SBrkr,Gd,Typ,NA,RFn,TA,TA,Y,NA,6,6
Reg,AllPub,Gtl,TA,TA,Gd,TA,No,ALQ,Unf,TA,Y,SBrkr,TA,Typ,Po,Fin,TA,TA,Y,NA,5,5
IR1,AllPub,Gtl,TA,TA,TA,TA,Av,BLQ,Rec,Ex,Y,FuseF,Gd,Min2,NA,Unf,TA,TA,Y,NA,5,4
IR1,AllPub,Gtl,Gd,TA,Gd,TA,Av,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,TA,RFn,TA,TA,Y,NA,8,5
IR1,AllPub,Gtl,TA,TA,Gd,TA,Av,GLQ,Unf,Ex,Y,SBrkr,TA,Typ,TA,RFn,TA,TA,Y,NA,6,6
Reg,AllPub,Gtl,TA,TA,TA,TA,No,Rec,Unf,Gd,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,N,NA,5,5
Reg,AllPub,Gtl,Gd,TA,NA,NA,NA,NA,NA,Ex,Y,SBrkr,Gd,Typ,Ex,RFn,TA,TA,Y,NA,7,5
Reg,AllPub,Gtl,TA,TA,TA,TA,No,ALQ,Unf,Gd,Y,SBrkr,Gd,Typ,NA,Unf,TA,TA,Y,NA,6,8
IR1,AllPub,Gtl,TA,TA,Gd,TA,Mn,GLQ,Unf,TA,Y,SBrkr,TA,Typ,TA,Fin,TA,TA,Y,NA,6,5
Reg,AllPub,Gtl,TA,Gd,TA,Fa,No,Rec,Unf,Gd,Y,FuseA,TA,Typ,NA,Unf,TA,Fa,Y,NA,5,7
IR1,AllPub,Gtl,TA,TA,Gd,TA,No,BLQ,Unf,Gd,Y,SBrkr,TA,Typ,Gd,RFn,TA,TA,Y,NA,6,5
IR1,AllPub,Gtl,TA,TA,Gd,TA,Gd,GLQ,Unf,Gd,Y,SBrkr,TA,Typ,Gd,RFn,TA,TA,Y,NA,6,5
Reg,AllPub,Gtl,TA,TA,TA,TA,No,LwQ,Unf,Gd,Y,SBrkr,TA,Typ,Gd,Fin,TA,TA,Y,NA,5,6
IR1,AllPub,Gtl,TA,Gd,TA,TA,No,ALQ,Rec,Ex,Y,SBrkr,Gd,Typ,Gd,Fin,TA,TA,Y,NA,5,7
IR1,AllPub,Gtl,TA,TA,Gd,TA,No,Unf,Unf,Ex,Y,SBrkr,TA,Typ,TA,RFn,TA,TA,Y,NA,6,5
Reg,AllPub,Gtl,TA,TA,NA,NA,NA,NA,NA,TA,Y,SBrkr,TA,Min2,Gd,Fin,TA,TA,N,NA,4,4
Reg,AllPub,Gtl,TA,TA,Gd,TA,No,ALQ,LwQ,TA,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,6,5
Reg,AllPub,Gtl,TA,TA,TA,TA,No,BLQ,LwQ,TA,Y,SBrkr,TA,Min2,NA,Unf,TA,TA,Y,NA,5,6
Reg,AllPub,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Ex,Y,SBrkr,Gd,Typ,Gd,Fin,TA,TA,Y,NA,7,5
IR1,AllPub,Sev,Fa,Fa,Fa,Po,Gd,BLQ,Unf,Gd,N,FuseA,Fa,Maj1,NA,NA,NA,NA,Y,NA,1,1
IR1,AllPub,Gtl,Gd,TA,Gd,TA,Av,GLQ,Unf,Ex,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,5,5
IR1,AllPub,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Ex,Y,SBrkr,Gd,Typ,Gd,RFn,TA,TA,Y,NA,8,5
Reg,AllPub,Gtl,Gd,TA,Ex,TA,Av,GLQ,Unf,Ex,Y,SBrkr,Ex,Typ,Ex,Fin,TA,TA,Y,NA,9,2
IR1,AllPub,Gtl,TA,TA,Gd,TA,No,Unf,Unf,Ex,Y,SBrkr,TA,Typ,TA,Fin,TA,TA,Y,NA,6,5
Reg,AllPub,Gtl,TA,TA,TA,TA,No,LwQ,Unf,TA,Y,SBrkr,Gd,Typ,Gd,Unf,TA,TA,Y,NA,5,6
Reg,AllPub,Gtl,Gd,TA,Gd,Gd,No,Unf,Unf,Ex,Y,SBrkr,Gd,Typ,Gd,RFn,TA,TA,Y,NA,7,5
IR1,AllPub,Gtl,Gd,TA,Gd,TA,Av,Unf,Unf,Ex,Y,SBrkr,Gd,Typ,NA,RFn,TA,TA,Y,NA,7,5
Reg,AllPub,Gtl,TA,TA,Fa,Fa,No,Unf,Unf,TA,N,FuseA,TA,Typ,NA,Unf,Fa,Fa,N,NA,6,3
IR2,AllPub,Mod,Gd,TA,Gd,TA,Av,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,Fa,Fin,TA,TA,Y,NA,6,5
Reg,AllPub,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,TA,Fin,TA,TA,Y,NA,8,5
Reg,AllPub,Gtl,TA,Fa,TA,TA,No,Unf,Unf,TA,Y,SBrkr,TA,Typ,NA,NA,NA,NA,N,NA,5,3
Reg,AllPub,Gtl,TA,TA,TA,TA,Av,ALQ,Unf,Ex,Y,SBrkr,TA,Typ,Fa,Unf,TA,TA,Y,NA,6,6
IR1,AllPub,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Ex,Y,SBrkr,Gd,Typ,NA,RFn,TA,TA,Y,NA,7,5
Reg,AllPub,Gtl,Ex,TA,Ex,TA,Av,GLQ,Unf,Ex,Y,SBrkr,Ex,Typ,Ex,Fin,TA,TA,Y,NA,10,5
Reg,AllPub,Gtl,TA,TA,TA,Gd,No,Rec,BLQ,Ex,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,5,8
IR1,AllPub,Gtl,TA,TA,Ex,TA,No,ALQ,Unf,Ex,Y,SBrkr,Gd,Typ,TA,Fin,TA,TA,Y,NA,6,5
IR1,AllPub,Gtl,TA,TA,NA,NA,NA,NA,NA,TA,Y,SBrkr,TA,Typ,NA,RFn,TA,TA,Y,NA,5,7
Reg,AllPub,Gtl,TA,TA,TA,TA,No,Rec,Unf,TA,Y,FuseA,TA,Typ,TA,NA,NA,NA,Y,NA,4,5
Reg,AllPub,Gtl,TA,TA,TA,TA,No,Unf,Unf,Gd,Y,FuseA,TA,Typ,NA,Unf,TA,TA,Y,NA,5,6
Reg,AllPub,Gtl,TA,TA,TA,TA,Av,BLQ,Unf,TA,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,5,6
Reg,AllPub,Gtl,TA,TA,TA,TA,Av,Rec,Unf,TA,Y,SBrkr,TA,Typ,NA,RFn,TA,TA,Y,NA,5,5
Reg,AllPub,Gtl,TA,TA,TA,TA,No,ALQ,Unf,TA,Y,SBrkr,TA,Typ,TA,RFn,TA,TA,Y,NA,5,5
Reg,AllPub,Gtl,TA,Fa,Fa,Po,No,Unf,Unf,Gd,Y,Mix,TA,Maj2,NA,Unf,Po,Po,N,NA,5,2
Reg,AllPub,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,NA,Fin,TA,TA,Y,NA,7,5
IR2,AllPub,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Y,SBrkr,Ex,Typ,Gd,Fin,TA,TA,Y,NA,8,5
IR1,AllPub,Gtl,Gd,TA,Gd,TA,Av,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,Gd,Fin,TA,TA,Y,NA,7,5
Reg,AllPub,Gtl,TA,TA,TA,TA,No,Unf,Unf,Ex,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,N,NA,5,8
Reg,AllPub,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Gd,Y,SBrkr,Gd,Typ,TA,Fin,TA,TA,Y,NA,8,5
IR1,AllPub,Gtl,TA,TA,Gd,TA,No,Unf,Unf,Gd,Y,SBrkr,TA,Typ,TA,Fin,TA,TA,Y,NA,6,5
IR1,AllPub,Gtl,TA,TA,TA,TA,No,BLQ,Unf,Ex,Y,SBrkr,TA,Min1,TA,Unf,TA,TA,Y,NA,4,4
Reg,AllPub,Gtl,TA,TA,TA,TA,No,Unf,Unf,Ex,Y,FuseA,TA,Maj2,NA,Unf,TA,TA,Y,NA,6,5
Reg,AllPub,Gtl,TA,TA,Gd,TA,No,Unf,Unf,Ex,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,6,7
Reg,AllPub,Gtl,Gd,TA,Ex,Gd,No,Unf,Unf,Ex,Y,SBrkr,Gd,Typ,Gd,RFn,TA,TA,Y,NA,7,5
Reg,AllPub,Gtl,Gd,TA,Ex,TA,No,GLQ,Unf,Ex,Y,SBrkr,Ex,Typ,Gd,Fin,TA,TA,Y,NA,8,5
Reg,AllPub,Gtl,TA,Fa,TA,Fa,No,Unf,Unf,TA,Y,FuseA,TA,Mod,NA,Unf,TA,TA,Y,NA,5,3
Reg,AllPub,Gtl,TA,TA,TA,TA,Mn,Rec,Unf,TA,N,SBrkr,TA,Typ,NA,Fin,TA,TA,Y,NA,5,5
IR2,AllPub,Gtl,Ex,TA,Ex,TA,Av,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,Gd,Fin,TA,TA,Y,NA,7,5
Reg,AllPub,Gtl,TA,TA,TA,TA,No,Unf,Unf,Gd,Y,FuseA,TA,Typ,Gd,Unf,TA,TA,Y,NA,5,6
IR2,AllPub,Gtl,Gd,TA,Gd,TA,No,BLQ,GLQ,Ex,Y,SBrkr,Gd,Typ,TA,Unf,TA,TA,Y,NA,7,5
IR1,AllPub,Gtl,Gd,TA,Gd,TA,Av,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,NA,Fin,TA,TA,Y,NA,7,5
Reg,AllPub,Gtl,TA,TA,TA,TA,No,ALQ,Unf,TA,Y,SBrkr,TA,Typ,TA,Fin,TA,TA,Y,NA,6,7
IR1,AllPub,Gtl,TA,TA,Gd,TA,No,BLQ,Unf,TA,N,FuseA,TA,Typ,Gd,Unf,TA,TA,N,NA,6,6
Reg,AllPub,Gtl,TA,TA,TA,TA,No,ALQ,Unf,Fa,N,FuseF,TA,Typ,NA,Unf,TA,TA,P,NA,5,6
Reg,AllPub,Gtl,TA,TA,TA,TA,No,BLQ,Unf,Ex,Y,SBrkr,TA,Typ,Fa,Unf,TA,TA,Y,NA,5,6
Reg,AllPub,Gtl,TA,Gd,Gd,Gd,Gd,GLQ,Unf,Ex,Y,SBrkr,TA,Typ,NA,Fin,TA,TA,Y,NA,7,5
IR1,AllPub,Gtl,Gd,TA,Gd,TA,No,ALQ,Unf,Gd,Y,SBrkr,Gd,Typ,TA,Fin,TA,TA,Y,NA,6,7
Reg,AllPub,Mod,TA,TA,TA,TA,No,Unf,Unf,Ex,Y,FuseA,TA,Typ,NA,RFn,TA,TA,N,NA,5,5
Reg,AllPub,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Gd,Y,SBrkr,Gd,Typ,TA,Fin,TA,TA,Y,NA,8,5
Reg,AllPub,Gtl,TA,TA,Gd,TA,No,LwQ,Unf,Gd,Y,FuseA,TA,Typ,Gd,RFn,TA,TA,Y,NA,6,5
Reg,AllPub,Gtl,TA,Gd,TA,TA,No,Unf,Unf,Gd,Y,SBrkr,TA,Typ,Gd,Unf,TA,TA,P,NA,7,8
Reg,AllPub,Mod,Gd,TA,Gd,TA,Gd,GLQ,Unf,Gd,Y,SBrkr,Gd,Typ,TA,Fin,TA,TA,Y,NA,7,5
IR1,AllPub,Gtl,TA,TA,TA,TA,No,Rec,Unf,Ex,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,4,6
Reg,AllPub,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,NA,RFn,TA,TA,Y,NA,7,5
IR1,AllPub,Gtl,TA,TA,Gd,TA,Mn,GLQ,Unf,TA,Y,SBrkr,Gd,Typ,TA,Unf,TA,TA,Y,NA,6,5
Reg,AllPub,Gtl,TA,TA,TA,TA,No,ALQ,Unf,TA,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,6,5
IR1,AllPub,Gtl,TA,TA,TA,TA,No,Unf,Unf,Gd,Y,SBrkr,TA,Typ,NA,NA,NA,NA,N,NA,6,7
Reg,AllPub,Gtl,TA,TA,TA,TA,No,ALQ,Unf,Ex,Y,SBrkr,TA,Min1,NA,Unf,TA,TA,Y,NA,5,5
IR1,AllPub,Gtl,TA,TA,Gd,TA,No,Unf,Unf,Ex,Y,SBrkr,TA,Typ,TA,Fin,TA,TA,Y,NA,6,5
Reg,AllPub,Gtl,TA,Gd,Gd,TA,Av,ALQ,Unf,Gd,Y,SBrkr,TA,Typ,NA,NA,NA,NA,Y,NA,4,7
IR2,AllPub,Gtl,Gd,TA,Gd,TA,Av,GLQ,ALQ,Ex,Y,SBrkr,Gd,Typ,TA,RFn,TA,TA,Y,NA,7,6
Reg,AllPub,Gtl,TA,TA,Fa,TA,No,Unf,Unf,TA,Y,FuseA,TA,Typ,NA,Unf,TA,TA,Y,NA,6,8
Reg,AllPub,Gtl,Gd,TA,TA,TA,No,Unf,Unf,Gd,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,6,7
Reg,AllPub,Gtl,TA,TA,TA,TA,No,LwQ,Unf,TA,N,SBrkr,Gd,Typ,Gd,Unf,Gd,TA,P,NA,5,6
Reg,AllPub,Gtl,TA,TA,TA,Fa,Mn,Unf,Unf,Gd,Y,SBrkr,Gd,Typ,NA,Unf,TA,TA,Y,NA,6,8
Reg,AllPub,Gtl,Ex,TA,Ex,TA,Gd,GLQ,ALQ,Ex,Y,SBrkr,Ex,Typ,Gd,Fin,TA,TA,Y,NA,10,5
Reg,AllPub,Gtl,TA,TA,TA,TA,No,ALQ,Unf,TA,N,FuseF,Fa,Typ,NA,NA,NA,NA,Y,NA,4,4
Reg,AllPub,Gtl,TA,TA,TA,TA,No,Unf,Unf,TA,Y,SBrkr,TA,Typ,Gd,Unf,TA,TA,P,NA,5,7
Reg,AllPub,Gtl,Gd,TA,Ex,TA,Av,Unf,Unf,Ex,Y,SBrkr,Gd,Typ,Gd,Fin,TA,TA,Y,NA,7,5
Reg,AllPub,Gtl,Gd,Gd,Gd,TA,No,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,TA,Unf,TA,TA,Y,NA,7,5
Reg,AllPub,Gtl,TA,TA,TA,TA,No,Unf,Unf,Fa,Y,SBrkr,TA,Typ,Gd,Unf,TA,TA,Y,NA,6,5
IR1,AllPub,Gtl,Gd,TA,TA,TA,No,ALQ,Rec,Ex,Y,SBrkr,Gd,Mod,Gd,Fin,TA,TA,Y,NA,6,6
IR1,AllPub,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Gd,Y,SBrkr,Gd,Typ,TA,Fin,TA,TA,Y,NA,7,5
Reg,AllPub,Gtl,TA,TA,TA,TA,No,Unf,Unf,TA,Y,SBrkr,TA,Typ,Gd,Unf,TA,TA,N,NA,6,6
Reg,AllPub,Gtl,TA,Gd,TA,TA,No,ALQ,Unf,Ex,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,3,7
Reg,AllPub,Gtl,TA,TA,TA,TA,No,Unf,Unf,Ex,Y,FuseA,Gd,Typ,NA,Unf,Fa,Fa,N,NA,6,8
IR1,AllPub,Mod,TA,TA,Gd,TA,Gd,ALQ,Unf,TA,Y,SBrkr,Gd,Typ,TA,Unf,TA,TA,Y,NA,7,5
IR1,AllPub,Gtl,Gd,TA,Ex,TA,No,ALQ,Unf,Ex,Y,SBrkr,TA,Typ,NA,Fin,TA,TA,Y,NA,6,5
Reg,AllPub,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Ex,Y,SBrkr,Gd,Typ,NA,RFn,TA,TA,Y,NA,8,5
Reg,AllPub,Gtl,TA,TA,TA,TA,No,ALQ,Unf,TA,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,5,5
Reg,AllPub,Gtl,TA,TA,TA,TA,No,ALQ,Unf,Fa,Y,SBrkr,TA,Typ,TA,Unf,TA,TA,Y,NA,7,6
Reg,AllPub,Gtl,TA,TA,TA,TA,No,Unf,Unf,Fa,N,SBrkr,TA,Typ,NA,Unf,Fa,Fa,Y,NA,5,5
IR1,AllPub,Mod,TA,TA,Gd,TA,Gd,BLQ,Unf,Ex,Y,SBrkr,Gd,Min1,Gd,Fin,TA,TA,Y,NA,4,6
Reg,AllPub,Gtl,TA,Gd,TA,TA,No,Unf,Unf,Fa,Y,SBrkr,Gd,Typ,Gd,Unf,TA,TA,Y,NA,8,7
IR1,AllPub,Gtl,TA,TA,TA,TA,No,LwQ,Unf,TA,Y,SBrkr,Gd,Typ,TA,Unf,TA,TA,Y,NA,5,4
IR1,AllPub,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Y,SBrkr,TA,Typ,NA,Fin,TA,TA,Y,NA,8,5
Reg,AllPub,Gtl,Gd,Gd,Gd,Gd,No,ALQ,BLQ,Ex,Y,SBrkr,Gd,Typ,NA,RFn,TA,TA,Y,NA,7,9
IR1,AllPub,Gtl,TA,TA,TA,TA,No,Rec,BLQ,Gd,Y,SBrkr,TA,Typ,Po,Unf,TA,TA,Y,NA,5,5
IR1,AllPub,Mod,TA,TA,TA,TA,No,LwQ,Unf,Fa,Y,FuseA,TA,Typ,Gd,Unf,TA,TA,Y,NA,6,7
Reg,AllPub,Mod,TA,TA,Gd,TA,No,Rec,Unf,TA,Y,SBrkr,TA,Typ,NA,NA,NA,NA,Y,NA,5,5
Reg,AllPub,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Ex,Y,SBrkr,Gd,Typ,TA,Fin,TA,TA,Y,NA,7,5
Reg,AllPub,Gtl,TA,Gd,TA,Gd,Gd,GLQ,Unf,TA,Y,SBrkr,TA,Typ,Po,Unf,TA,TA,Y,NA,7,5
Reg,AllPub,Gtl,TA,TA,TA,TA,No,LwQ,Unf,Ex,Y,SBrkr,Gd,Typ,Gd,Unf,TA,TA,Y,NA,5,7
IR1,AllPub,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Ex,Y,SBrkr,Gd,Typ,Gd,RFn,TA,TA,Y,NA,8,5
IR1,AllPub,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,NA,RFn,TA,TA,Y,NA,6,5
IR1,AllPub,Gtl,Gd,TA,Gd,TA,Av,GLQ,BLQ,TA,Y,SBrkr,Gd,Typ,NA,RFn,TA,TA,Y,NA,8,5
Reg,AllPub,Gtl,TA,TA,Gd,TA,No,Unf,Unf,TA,Y,SBrkr,TA,Typ,Gd,RFn,TA,TA,Y,NA,7,6
Reg,AllPub,Gtl,TA,TA,Gd,TA,Gd,GLQ,Unf,Ex,Y,SBrkr,TA,Typ,NA,RFn,TA,TA,Y,NA,6,5
IR1,AllPub,Gtl,Gd,TA,Ex,TA,Gd,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,Ex,RFn,TA,TA,Y,NA,8,5
Reg,AllPub,Gtl,Gd,TA,Gd,TA,Av,GLQ,Unf,Ex,Y,SBrkr,Ex,Typ,NA,RFn,TA,TA,Y,NA,8,5
Reg,AllPub,Gtl,TA,TA,TA,TA,No,GLQ,Unf,TA,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,5,6
Reg,AllPub,Mod,TA,TA,Gd,TA,Gd,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,TA,Fin,TA,TA,Y,NA,6,5
Reg,AllPub,Gtl,Ex,TA,Gd,TA,Av,Unf,Unf,Ex,Y,SBrkr,Ex,Typ,Gd,Fin,TA,TA,Y,NA,9,5
Reg,AllPub,Gtl,Gd,TA,Ex,TA,Gd,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,Gd,RFn,TA,TA,Y,NA,8,5
Reg,AllPub,Gtl,TA,TA,Fa,TA,No,Rec,Unf,TA,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,4,7
IR1,AllPub,Gtl,Gd,TA,Ex,TA,Gd,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,Gd,Fin,TA,TA,Y,NA,9,5
IR1,AllPub,Gtl,Gd,TA,Ex,TA,Gd,GLQ,Unf,Ex,Y,SBrkr,Ex,Typ,Gd,Fin,TA,TA,Y,NA,9,5
Reg,AllPub,Gtl,Gd,TA,TA,TA,No,ALQ,Unf,Ex,Y,SBrkr,Ex,Min2,Gd,Unf,Fa,Fa,Y,NA,7,8
Reg,AllPub,Gtl,TA,TA,Ex,TA,No,GLQ,Unf,Ex,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,6,5
IR1,AllPub,Gtl,TA,Gd,TA,TA,No,ALQ,Unf,Gd,Y,SBrkr,Gd,Typ,NA,Unf,TA,TA,Y,NA,5,7
Reg,AllPub,Gtl,Gd,TA,TA,TA,No,ALQ,Unf,Gd,Y,SBrkr,Gd,Typ,Gd,Unf,TA,TA,Y,NA,5,7
Reg,AllPub,Gtl,TA,TA,TA,TA,No,ALQ,Unf,TA,Y,SBrkr,TA,Typ,NA,RFn,TA,TA,Y,NA,5,7
IR1,AllPub,Gtl,TA,TA,Gd,TA,Av,ALQ,Unf,Gd,Y,SBrkr,TA,Typ,TA,Unf,TA,TA,Y,NA,5,6
Reg,AllPub,Gtl,TA,Fa,TA,Fa,No,BLQ,Unf,TA,N,FuseA,TA,Mod,Gd,Unf,TA,Fa,N,NA,5,4
Reg,AllPub,Gtl,TA,Gd,Gd,TA,Av,GLQ,Unf,TA,Y,SBrkr,Gd,Typ,NA,Unf,TA,TA,Y,NA,4,8
Reg,AllPub,Gtl,TA,TA,Gd,TA,Mn,Unf,Unf,TA,Y,SBrkr,TA,Typ,Gd,Fin,TA,TA,Y,NA,5,6
Reg,AllPub,Gtl,TA,TA,TA,TA,No,BLQ,Rec,TA,Y,FuseA,Fa,Typ,TA,Unf,TA,TA,Y,NA,6,7
IR1,AllPub,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Gd,Y,SBrkr,TA,Typ,NA,RFn,TA,TA,Y,NA,6,5
Reg,AllPub,Gtl,TA,TA,TA,TA,No,BLQ,LwQ,TA,Y,FuseA,TA,Typ,Fa,Unf,TA,TA,Y,NA,5,6
Reg,AllPub,Gtl,TA,TA,Fa,TA,No,Unf,Unf,Gd,Y,FuseA,TA,Typ,NA,Unf,TA,TA,Y,NA,5,8
Reg,AllPub,Gtl,TA,TA,TA,TA,No,Rec,Unf,TA,N,FuseA,TA,Typ,NA,NA,NA,NA,N,NA,4,5
IR1,AllPub,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,Gd,RFn,TA,TA,Y,NA,8,5
Reg,AllPub,Gtl,TA,Gd,TA,TA,No,Rec,Unf,Ex,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,N,NA,7,6
Reg,AllPub,Gtl,TA,TA,TA,TA,No,ALQ,Unf,Ex,Y,SBrkr,Gd,Typ,NA,Fin,TA,TA,Y,NA,5,7
IR1,AllPub,Gtl,TA,TA,TA,TA,No,BLQ,LwQ,Fa,Y,SBrkr,TA,Typ,NA,Fin,TA,TA,Y,NA,5,7
Reg,AllPub,Gtl,TA,TA,TA,TA,No,BLQ,Unf,TA,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,Y,NA,6,5
Reg,AllPub,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Gd,Y,SBrkr,Gd,Typ,NA,RFn,TA,TA,Y,NA,7,5
Reg,AllPub,Gtl,TA,TA,TA,TA,No,ALQ,GLQ,Ex,Y,SBrkr,TA,Typ,NA,Unf,Fa,Fa,Y,NA,5,7
IR1,AllPub,Gtl,TA,TA,TA,TA,No,ALQ,Unf,TA,Y,SBrkr,TA,Typ,TA,Fin,TA,TA,Y,NA,7,8
Reg,AllPub,Gtl,TA,TA,TA,TA,No,ALQ,Rec,TA,Y,SBrkr,TA,Typ,Fa,Unf,TA,TA,Y,NA,6,5
Reg,AllPub,Gtl,TA,TA,TA,TA,No,Unf,Unf,Gd,Y,SBrkr,TA,Typ,NA,Unf,TA,TA,N,NA,5,5
IR1,AllPub,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,TA,RFn,TA,TA,Y,NA,8,5
